	Cell_type	Gene	source
1675	DC_immature	PREP	Bindea_2013
1676	DC_immature	RAP1GAP	Bindea_2013
1677	DC_immature	SLC26A6	Bindea_2013
1678	DC_immature	SLC7A8	Bindea_2013
1679	DC_immature	SYT17	Bindea_2013
1680	DC_immature	TACSTD2	Bindea_2013
1681	DC_immature	TM7SF4	Bindea_2013
1682	DC_immature	VASH1	Bindea_2013
3490	DC_immature	ACADM	Charoentong_2017
3491	DC_immature	AHCYL1	Charoentong_2017
3492	DC_immature	ALDH1A2	Charoentong_2017
3493	DC_immature	ALDH3A2	Charoentong_2017
3494	DC_immature	ALDH9A1	Charoentong_2017
3495	DC_immature	ALOX15	Charoentong_2017
3496	DC_immature	AMT	Charoentong_2017
3497	DC_immature	ARL1	Charoentong_2017
3498	DC_immature	ATIC	Charoentong_2017
3499	DC_immature	ATP5A1	Charoentong_2017
3500	DC_immature	CAPZA1	Charoentong_2017
3501	DC_immature	LILRA5	Charoentong_2017
3502	DC_immature	RDX	Charoentong_2017
3503	DC_immature	RRAGD	Charoentong_2017
3504	DC_immature	TACSTD2	Charoentong_2017
3505	DC_immature	INPP5F	Charoentong_2017
3506	DC_immature	RAB38	Charoentong_2017
3507	DC_immature	PLAU	Charoentong_2017
3508	DC_immature	CSF3R	Charoentong_2017
3509	DC_immature	SLC18A2	Charoentong_2017
3510	DC_immature	AMPD2	Charoentong_2017
3511	DC_immature	CLTB	Charoentong_2017
3512	DC_immature	C1orf162	Charoentong_2017
714	B_immature	BANK1	Angelova_2015
715	B_immature	CD22	Angelova_2015
716	B_immature	CYBB	Angelova_2015
717	B_immature	ETS1	Angelova_2015
718	B_immature	FAM129C	Angelova_2015
719	B_immature	FCRL1	Angelova_2015
720	B_immature	FCRL2	Angelova_2015
721	B_immature	FCRL3	Angelova_2015
722	B_immature	FCRL5	Angelova_2015
723	B_immature	FCRLA	Angelova_2015
724	B_immature	HDAC9	Angelova_2015
725	B_immature	HLA-DOB	Angelova_2015
726	B_immature	HLA-DQA1	Angelova_2015
727	B_immature	HVCN1	Angelova_2015
728	B_immature	KIAA0226	Angelova_2015
729	B_immature	NCF1	Angelova_2015
730	B_immature	NCF1B	Angelova_2015
731	B_immature	P2RY10	Angelova_2015
732	B_immature	PNOC	Angelova_2015
733	B_immature	SP100	Angelova_2015
734	B_immature	STAP1	Angelova_2015
735	B_immature	TAGAP	Angelova_2015
736	B_immature	TXNIP	Angelova_2015
737	B_immature	ZCCHC2	Angelova_2015
3587	Interferon	APOL1	Nirmal_2018
3588	Interferon	APOL6	Nirmal_2018
3589	Interferon	BATF2	Nirmal_2018
3590	Interferon	BST2	Nirmal_2018
3591	Interferon	C19orf66	Nirmal_2018
3592	Interferon	C5orf56	Nirmal_2018
3593	Interferon	CMPK2	Nirmal_2018
3594	Interferon	CMTR1	Nirmal_2018
3595	Interferon	DDX58	Nirmal_2018
3596	Interferon	DDX60	Nirmal_2018
3597	Interferon	DHX58	Nirmal_2018
3598	Interferon	DTX3L	Nirmal_2018
3599	Interferon	EIF2AK2	Nirmal_2018
3600	Interferon	EPSTI1	Nirmal_2018
3601	Interferon	FBXO6	Nirmal_2018
3602	Interferon	GBP1	Nirmal_2018
3603	Interferon	GBP4	Nirmal_2018
3604	Interferon	HELZ2	Nirmal_2018
3605	Interferon	HERC5	Nirmal_2018
3606	Interferon	HERC6	Nirmal_2018
3607	Interferon	HESX1	Nirmal_2018
3608	Interferon	HSH2D	Nirmal_2018
3609	Interferon	IFI16	Nirmal_2018
3610	Interferon	IFI35	Nirmal_2018
3611	Interferon	IFI44	Nirmal_2018
3612	Interferon	IFI44L	Nirmal_2018
3613	Interferon	IFI6	Nirmal_2018
3614	Interferon	IFIH1	Nirmal_2018
3615	Interferon	IFIT1	Nirmal_2018
3616	Interferon	IFIT2	Nirmal_2018
3617	Interferon	IFIT3	Nirmal_2018
3618	Interferon	IFIT5	Nirmal_2018
3619	Interferon	IFITM1	Nirmal_2018
3620	Interferon	IRF7	Nirmal_2018
3621	Interferon	IRF9	Nirmal_2018
3622	Interferon	ISG15	Nirmal_2018
3623	Interferon	LAMP3	Nirmal_2018
3624	Interferon	LAP3	Nirmal_2018
3625	Interferon	LGALS3BP	Nirmal_2018
3626	Interferon	LY6E	Nirmal_2018
3627	Interferon	MOV10	Nirmal_2018
3628	Interferon	MVB12A	Nirmal_2018
3629	Interferon	MX1	Nirmal_2018
3630	Interferon	MX2	Nirmal_2018
3631	Interferon	OAS1	Nirmal_2018
3632	Interferon	OAS2	Nirmal_2018
3633	Interferon	OAS3	Nirmal_2018
3634	Interferon	OASL	Nirmal_2018
3635	Interferon	PARP10	Nirmal_2018
3636	Interferon	PARP12	Nirmal_2018
3637	Interferon	PARP14	Nirmal_2018
3638	Interferon	PARP9	Nirmal_2018
3639	Interferon	PHF11	Nirmal_2018
3640	Interferon	PML	Nirmal_2018
3641	Interferon	PNPT1	Nirmal_2018
3642	Interferon	PSMB9	Nirmal_2018
3643	Interferon	RNF213	Nirmal_2018
3644	Interferon	RSAD2	Nirmal_2018
3645	Interferon	RTP4	Nirmal_2018
3646	Interferon	SAMD9	Nirmal_2018
3647	Interferon	SAMD9L	Nirmal_2018
3648	Interferon	SERPING1	Nirmal_2018
3649	Interferon	SHISA5	Nirmal_2018
3650	Interferon	SIGLEC1	Nirmal_2018
3651	Interferon	SP110	Nirmal_2018
3652	Interferon	SPATS2L	Nirmal_2018
3653	Interferon	STAT1	Nirmal_2018
3654	Interferon	STAT2	Nirmal_2018
3655	Interferon	TAP1	Nirmal_2018
3656	Interferon	TDRD7	Nirmal_2018
3657	Interferon	TNFSF10	Nirmal_2018
3658	Interferon	TOR1B	Nirmal_2018
3659	Interferon	TRAFD1	Nirmal_2018
3660	Interferon	TRIM21	Nirmal_2018
3661	Interferon	TRIM22	Nirmal_2018
3662	Interferon	TRIM38	Nirmal_2018
3663	Interferon	TRIM5	Nirmal_2018
3664	Interferon	TRIM6	Nirmal_2018
3665	Interferon	UBE2L6	Nirmal_2018
3666	Interferon	USP18	Nirmal_2018
3667	Interferon	XAF1	Nirmal_2018
3668	Interferon	ZBP1	Nirmal_2018
3669	Interferon	ZCCHC2	Nirmal_2018
3670	Interferon	ZNFX1	Nirmal_2018
823	Macrophages	AIF1	Angelova_2015
824	Macrophages	CCL1	Angelova_2015
825	Macrophages	CCL14	Angelova_2015
826	Macrophages	CCL26	Angelova_2015
827	Macrophages	CD163	Angelova_2015
828	Macrophages	CD300LB	Angelova_2015
829	Macrophages	CNR1	Angelova_2015
830	Macrophages	CNR2	Angelova_2015
831	Macrophages	CPM	Angelova_2015
832	Macrophages	CSF3R	Angelova_2015
833	Macrophages	ENG	Angelova_2015
834	Macrophages	FCAR	Angelova_2015
835	Macrophages	IGF1	Angelova_2015
836	Macrophages	IL34	Angelova_2015
837	Macrophages	L1CAM	Angelova_2015
838	Macrophages	LILRA1	Angelova_2015
839	Macrophages	LILRA5	Angelova_2015
840	Macrophages	LRP1	Angelova_2015
841	Macrophages	MS4A7	Angelova_2015
842	Macrophages	MS4A8B	Angelova_2015
843	Macrophages	TREM1	Angelova_2015
844	Macrophages	TREML1	Angelova_2015
1458	Macrophages	APOE	Bindea_2013
1459	Macrophages	ATG7	Bindea_2013
1460	Macrophages	BCAT1	Bindea_2013
1461	Macrophages	CCL7	Bindea_2013
1462	Macrophages	CD163	Bindea_2013
1463	Macrophages	CD68	Bindea_2013
1464	Macrophages	CD84	Bindea_2013
1465	Macrophages	CHI3L1	Bindea_2013
1466	Macrophages	CHIT1	Bindea_2013
1467	Macrophages	CLEC5A	Bindea_2013
1468	Macrophages	COL8A2	Bindea_2013
1469	Macrophages	COLEC12	Bindea_2013
1470	Macrophages	CTSK	Bindea_2013
1471	Macrophages	CXCL5	Bindea_2013
1472	Macrophages	CYBB	Bindea_2013
1473	Macrophages	DNASE2B	Bindea_2013
1474	Macrophages	EMP1	Bindea_2013
1475	Macrophages	FDX1	Bindea_2013
1476	Macrophages	FN1	Bindea_2013
1477	Macrophages	GM2A	Bindea_2013
1478	Macrophages	GPC4	Bindea_2013
1479	Macrophages	KAL1	Bindea_2013
1480	Macrophages	MARCO	Bindea_2013
1481	Macrophages	ME1	Bindea_2013
1482	Macrophages	MS4A4A	Bindea_2013
1483	Macrophages	MSR1	Bindea_2013
1484	Macrophages	PCOLCE2	Bindea_2013
1485	Macrophages	PTGDS	Bindea_2013
1486	Macrophages	RAI14	Bindea_2013
1487	Macrophages	SCARB2	Bindea_2013
1488	Macrophages	SCG5	Bindea_2013
1489	Macrophages	SGMS1	Bindea_2013
1490	Macrophages	SULT1C2	Bindea_2013
3127	Macrophages	AIF1	Charoentong_2017
3128	Macrophages	CCL1	Charoentong_2017
3129	Macrophages	CCL14	Charoentong_2017
3130	Macrophages	CCL23	Charoentong_2017
3131	Macrophages	CCL26	Charoentong_2017
3132	Macrophages	CD300LB	Charoentong_2017
3133	Macrophages	CNR1	Charoentong_2017
3134	Macrophages	CNR2	Charoentong_2017
3135	Macrophages	EIF1	Charoentong_2017
3136	Macrophages	EIF4A1	Charoentong_2017
3137	Macrophages	FPR1	Charoentong_2017
3138	Macrophages	FPR2	Charoentong_2017
3139	Macrophages	FRAT2	Charoentong_2017
3140	Macrophages	GPR27	Charoentong_2017
3141	Macrophages	GPR77	Charoentong_2017
3142	Macrophages	RNASE2	Charoentong_2017
3143	Macrophages	MS4A2	Charoentong_2017
3144	Macrophages	BASP1	Charoentong_2017
3145	Macrophages	IGSF6	Charoentong_2017
3146	Macrophages	HK3	Charoentong_2017
3147	Macrophages	VNN1	Charoentong_2017
3148	Macrophages	FES	Charoentong_2017
3149	Macrophages	NPL	Charoentong_2017
3150	Macrophages	FZD2	Charoentong_2017
3151	Macrophages	FAM198B	Charoentong_2017
3152	Macrophages	HNMT	Charoentong_2017
3153	Macrophages	SLC15A3	Charoentong_2017
3154	Macrophages	CD4	Charoentong_2017
3155	Macrophages	TXNDC3	Charoentong_2017
3156	Macrophages	FRMD4A	Charoentong_2017
3157	Macrophages	CRYBB1	Charoentong_2017
3158	Macrophages	HRH1	Charoentong_2017
3159	Macrophages	WNT5B	Charoentong_2017
3671	Macrophages_DC	ADA2	Nirmal_2018
3672	Macrophages_DC	ADAMDEC1	Nirmal_2018
3673	Macrophages_DC	ADGRE2	Nirmal_2018
3674	Macrophages_DC	ADORA3	Nirmal_2018
3675	Macrophages_DC	AOAH	Nirmal_2018
3676	Macrophages_DC	ARRB2	Nirmal_2018
3677	Macrophages_DC	ATP8B4	Nirmal_2018
3678	Macrophages_DC	BCL2A1	Nirmal_2018
3679	Macrophages_DC	C1orf54	Nirmal_2018
3680	Macrophages_DC	C1QA	Nirmal_2018
3681	Macrophages_DC	C1QB	Nirmal_2018
3682	Macrophages_DC	C2	Nirmal_2018
3683	Macrophages_DC	C3AR1	Nirmal_2018
3684	Macrophages_DC	C5AR1	Nirmal_2018
3685	Macrophages_DC	CCR1	Nirmal_2018
3686	Macrophages_DC	CCRL2	Nirmal_2018
3687	Macrophages_DC	CD163	Nirmal_2018
3688	Macrophages_DC	CD300A	Nirmal_2018
3689	Macrophages_DC	CD4	Nirmal_2018
3690	Macrophages_DC	CD68	Nirmal_2018
3691	Macrophages_DC	CD74	Nirmal_2018
3692	Macrophages_DC	CD86	Nirmal_2018
3693	Macrophages_DC	CLEC7A	Nirmal_2018
3694	Macrophages_DC	CMKLR1	Nirmal_2018
3695	Macrophages_DC	CSF1R	Nirmal_2018
3696	Macrophages_DC	CSF2RB	Nirmal_2018
3697	Macrophages_DC	CTSB	Nirmal_2018
3698	Macrophages_DC	CTSS	Nirmal_2018
3699	Macrophages_DC	CYBB	Nirmal_2018
3700	Macrophages_DC	CYTH4	Nirmal_2018
3701	Macrophages_DC	DPYD	Nirmal_2018
3702	Macrophages_DC	FCER1G	Nirmal_2018
3703	Macrophages_DC	FCGR1A	Nirmal_2018
3704	Macrophages_DC	FCGR1B	Nirmal_2018
3705	Macrophages_DC	FCGR2A	Nirmal_2018
3706	Macrophages_DC	FCGR3B	Nirmal_2018
3707	Macrophages_DC	FPR3	Nirmal_2018
3708	Macrophages_DC	GPNMB	Nirmal_2018
3709	Macrophages_DC	HK3	Nirmal_2018
3710	Macrophages_DC	HLA-DRB6	Nirmal_2018
3711	Macrophages_DC	IFI30	Nirmal_2018
3712	Macrophages_DC	IGSF6	Nirmal_2018
3713	Macrophages_DC	ITGAM	Nirmal_2018
3714	Macrophages_DC	ITGAX	Nirmal_2018
3715	Macrophages_DC	ITGB2	Nirmal_2018
3716	Macrophages_DC	LAIR1	Nirmal_2018
3717	Macrophages_DC	LAPTM5	Nirmal_2018
3718	Macrophages_DC	LILRB4	Nirmal_2018
3719	Macrophages_DC	LIPA	Nirmal_2018
3720	Macrophages_DC	LY96	Nirmal_2018
3721	Macrophages_DC	MAFB	Nirmal_2018
3722	Macrophages_DC	MAN2B1	Nirmal_2018
3723	Macrophages_DC	MFSD1	Nirmal_2018
3724	Macrophages_DC	MNDA	Nirmal_2018
3725	Macrophages_DC	MS4A4A	Nirmal_2018
3726	Macrophages_DC	MS4A6A	Nirmal_2018
3727	Macrophages_DC	MS4A7	Nirmal_2018
3728	Macrophages_DC	MSR1	Nirmal_2018
3729	Macrophages_DC	MYO1F	Nirmal_2018
3730	Macrophages_DC	NCF2	Nirmal_2018
3731	Macrophages_DC	NCKAP1L	Nirmal_2018
3732	Macrophages_DC	NPL	Nirmal_2018
3733	Macrophages_DC	NR1H3	Nirmal_2018
3734	Macrophages_DC	P2RY13	Nirmal_2018
3735	Macrophages_DC	PLA2G7	Nirmal_2018
3736	Macrophages_DC	PLEKHO2	Nirmal_2018
3737	Macrophages_DC	SCPEP1	Nirmal_2018
3738	Macrophages_DC	SLAMF8	Nirmal_2018
3739	Macrophages_DC	SLC15A3	Nirmal_2018
3740	Macrophages_DC	SLC31A2	Nirmal_2018
3741	Macrophages_DC	SLCO2B1	Nirmal_2018
3742	Macrophages_DC	SNX10	Nirmal_2018
3743	Macrophages_DC	SPI1	Nirmal_2018
3744	Macrophages_DC	TBXAS1	Nirmal_2018
3745	Macrophages_DC	TLR8	Nirmal_2018
3746	Macrophages_DC	TMEM140	Nirmal_2018
3747	Macrophages_DC	TNFAIP2	Nirmal_2018
3748	Macrophages_DC	TNFRSF1B	Nirmal_2018
3749	Macrophages_DC	TNFSF13B	Nirmal_2018
3750	Macrophages_DC	TRPV2	Nirmal_2018
3751	Macrophages_DC	TYMP	Nirmal_2018
3752	Macrophages_DC	TYROBP	Nirmal_2018
3753	Macrophages_DC	VSIG4	Nirmal_2018
1950	Macrophages_m0	ACP5	Newman_2015
1951	Macrophages_m0	ADAMDEC1	Newman_2015
1952	Macrophages_m0	AQP9	Newman_2015
1953	Macrophages_m0	BHLHE41	Newman_2015
1954	Macrophages_m0	C5AR1	Newman_2015
1955	Macrophages_m0	CCDC102B	Newman_2015
1956	Macrophages_m0	CCL18	Newman_2015
1957	Macrophages_m0	CCL22	Newman_2015
1958	Macrophages_m0	CCL7	Newman_2015
1959	Macrophages_m0	CD68	Newman_2015
1960	Macrophages_m0	CHI3L1	Newman_2015
1961	Macrophages_m0	COL8A2	Newman_2015
1962	Macrophages_m0	CSF1	Newman_2015
1963	Macrophages_m0	CXCL3	Newman_2015
1964	Macrophages_m0	CXCL5	Newman_2015
1965	Macrophages_m0	CYP27A1	Newman_2015
1966	Macrophages_m0	DCSTAMP	Newman_2015
1967	Macrophages_m0	FAM198B	Newman_2015
1968	Macrophages_m0	GPC4	Newman_2015
1969	Macrophages_m0	HK3	Newman_2015
1970	Macrophages_m0	IGSF6	Newman_2015
1971	Macrophages_m0	MARCO	Newman_2015
1972	Macrophages_m0	MMP9	Newman_2015
1973	Macrophages_m0	NCF2	Newman_2015
1974	Macrophages_m0	PLA2G7	Newman_2015
1975	Macrophages_m0	PPBP	Newman_2015
1976	Macrophages_m0	QPCT	Newman_2015
1977	Macrophages_m0	SLAMF8	Newman_2015
1978	Macrophages_m0	SLC12A8	Newman_2015
1979	Macrophages_m0	SLC15A3	Newman_2015
1980	Macrophages_m0	TNFSF14	Newman_2015
1981	Macrophages_m0	TREM2	Newman_2015
1982	Macrophages_m0	VNN1	Newman_2015
1983	Macrophages_m1	ACHE	Newman_2015
1984	Macrophages_m1	ADAMDEC1	Newman_2015
1985	Macrophages_m1	APOBEC3A	Newman_2015
1986	Macrophages_m1	APOL3	Newman_2015
1987	Macrophages_m1	APOL6	Newman_2015
1988	Macrophages_m1	AQP9	Newman_2015
1989	Macrophages_m1	ARRB1	Newman_2015
1990	Macrophages_m1	CCL19	Newman_2015
1991	Macrophages_m1	CCL5	Newman_2015
1992	Macrophages_m1	CCL8	Newman_2015
1993	Macrophages_m1	CCR7	Newman_2015
1994	Macrophages_m1	CD38	Newman_2015
1995	Macrophages_m1	CD40	Newman_2015
1996	Macrophages_m1	CHI3L1	Newman_2015
1997	Macrophages_m1	CLIC2	Newman_2015
1998	Macrophages_m1	CXCL10	Newman_2015
1999	Macrophages_m1	CXCL11	Newman_2015
2000	Macrophages_m1	CXCL13	Newman_2015
2001	Macrophages_m1	CXCL9	Newman_2015
2002	Macrophages_m1	CYP27B1	Newman_2015
2003	Macrophages_m1	DHX58	Newman_2015
2004	Macrophages_m1	EBI3	Newman_2015
2005	Macrophages_m1	GGT5	Newman_2015
2006	Macrophages_m1	HESX1	Newman_2015
2007	Macrophages_m1	IDO1	Newman_2015
2008	Macrophages_m1	IFI44L	Newman_2015
2009	Macrophages_m1	IL2RA	Newman_2015
2010	Macrophages_m1	KIAA0754	Newman_2015
2011	Macrophages_m1	KYNU	Newman_2015
2012	Macrophages_m1	LAG3	Newman_2015
2013	Macrophages_m1	LAMP3	Newman_2015
2014	Macrophages_m1	LILRA3	Newman_2015
2015	Macrophages_m1	LILRB2	Newman_2015
2016	Macrophages_m1	NOD2	Newman_2015
2017	Macrophages_m1	PLA1A	Newman_2015
2018	Macrophages_m1	PTGIR	Newman_2015
2019	Macrophages_m1	RASSF4	Newman_2015
2020	Macrophages_m1	RSAD2	Newman_2015
2021	Macrophages_m1	SIGLEC1	Newman_2015
2022	Macrophages_m1	SLAMF1	Newman_2015
2023	Macrophages_m1	SLC15A3	Newman_2015
2024	Macrophages_m1	SLC2A6	Newman_2015
2025	Macrophages_m1	SOCS1	Newman_2015
2026	Macrophages_m1	TLR7	Newman_2015
2027	Macrophages_m1	TLR8	Newman_2015
2028	Macrophages_m1	TNFAIP6	Newman_2015
2029	Macrophages_m1	TNIP3	Newman_2015
2030	Macrophages_m1	TRPM4	Newman_2015
2031	Macrophages_m2	ADAMDEC1	Newman_2015
2032	Macrophages_m2	AIF1	Newman_2015
2033	Macrophages_m2	ALOX15	Newman_2015
2034	Macrophages_m2	CCL13	Newman_2015
2035	Macrophages_m2	CCL14	Newman_2015
2036	Macrophages_m2	CCL18	Newman_2015
2037	Macrophages_m2	CCL23	Newman_2015
2038	Macrophages_m2	CCL8	Newman_2015
2039	Macrophages_m2	CD209	Newman_2015
2040	Macrophages_m2	CD4	Newman_2015
2041	Macrophages_m2	CD68	Newman_2015
2042	Macrophages_m2	CFP	Newman_2015
2043	Macrophages_m2	CHI3L1	Newman_2015
2044	Macrophages_m2	CLEC10A	Newman_2015
2045	Macrophages_m2	CLEC4A	Newman_2015
2046	Macrophages_m2	CLIC2	Newman_2015
2047	Macrophages_m2	CRYBB1	Newman_2015
2048	Macrophages_m2	EBI3	Newman_2015
2049	Macrophages_m2	FAM198B	Newman_2015
2050	Macrophages_m2	FES	Newman_2015
2051	Macrophages_m2	FRMD4A	Newman_2015
2052	Macrophages_m2	FZD2	Newman_2015
2053	Macrophages_m2	GGT5	Newman_2015
2054	Macrophages_m2	GSTT1	Newman_2015
2055	Macrophages_m2	HRH1	Newman_2015
2056	Macrophages_m2	HTR2B	Newman_2015
2057	Macrophages_m2	MS4A6A	Newman_2015
2058	Macrophages_m2	NME8	Newman_2015
2059	Macrophages_m2	NPL	Newman_2015
2060	Macrophages_m2	P2RY13	Newman_2015
2061	Macrophages_m2	PDCD1LG2	Newman_2015
2062	Macrophages_m2	RENBP	Newman_2015
2063	Macrophages_m2	SIGLEC1	Newman_2015
2064	Macrophages_m2	SLC15A3	Newman_2015
2065	Macrophages_m2	TLR8	Newman_2015
2066	Macrophages_m2	TREM2	Newman_2015
2067	Macrophages_m2	WNT5B	Newman_2015
1491	Mast	ABCC4	Bindea_2013
1492	Mast	ADCYAP1	Bindea_2013
1493	Mast	CALB2	Bindea_2013
1494	Mast	CEACAM8	Bindea_2013
1495	Mast	CMA1	Bindea_2013
1496	Mast	CPA3	Bindea_2013
1497	Mast	CTSG	Bindea_2013
1498	Mast	ELA2	Bindea_2013
1499	Mast	GATA2	Bindea_2013
1500	Mast	HDC	Bindea_2013
1501	Mast	HPGD	Bindea_2013
1502	Mast	HPGDS	Bindea_2013
1503	Mast	KIT	Bindea_2013
1504	Mast	LINC01140	Bindea_2013
1505	Mast	MAOB	Bindea_2013
1506	Mast	MLPH	Bindea_2013
1507	Mast	MPO	Bindea_2013
1508	Mast	MS4A2	Bindea_2013
1509	Mast	NR0B1	Bindea_2013
1510	Mast	PPM1H	Bindea_2013
1511	Mast	PRG2	Bindea_2013
1512	Mast	PTGS1	Bindea_2013
1513	Mast	SCG2	Bindea_2013
1514	Mast	SIGLEC6	Bindea_2013
1515	Mast	SLC18A2	Bindea_2013
1516	Mast	SLC24A3	Bindea_2013
1517	Mast	TAL1	Bindea_2013
1518	Mast	TPSAB1	Bindea_2013
1519	Mast	TPSB2	Bindea_2013
1520	Mast	VWA5A	Bindea_2013
3160	Mast	ADAMTS3	Charoentong_2017
3161	Mast	CPA3	Charoentong_2017
3162	Mast	CMA1	Charoentong_2017
3163	Mast	CTSG	Charoentong_2017
3164	Mast	ARHGAP15	Charoentong_2017
3165	Mast	CPM	Charoentong_2017
3166	Mast	FCN1	Charoentong_2017
3167	Mast	FTL	Charoentong_2017
3168	Mast	HSPA6	Charoentong_2017
3169	Mast	ITGA9	Charoentong_2017
3170	Mast	RNASE3	Charoentong_2017
3171	Mast	S100A4	Charoentong_2017
3172	Mast	SIGLEC8	Charoentong_2017
3173	Mast	SLC6A4	Charoentong_2017
3174	Mast	PTGS2	Charoentong_2017
3175	Mast	EGR3	Charoentong_2017
3176	Mast	PILRA	Charoentong_2017
845	Mast	ACSL4	Angelova_2015
846	Mast	ADAMTS3	Angelova_2015
847	Mast	ADCYAP1	Angelova_2015
848	Mast	ARHGAP15	Angelova_2015
849	Mast	ATP8B4	Angelova_2015
850	Mast	C19orf59	Angelova_2015
851	Mast	CASQ1	Angelova_2015
852	Mast	CLC	Angelova_2015
853	Mast	CMA1	Angelova_2015
854	Mast	CPA3	Angelova_2015
855	Mast	CTSG	Angelova_2015
856	Mast	DUSP14	Angelova_2015
857	Mast	EGR3	Angelova_2015
858	Mast	EMR1	Angelova_2015
859	Mast	FST	Angelova_2015
860	Mast	HDC	Angelova_2015
861	Mast	HEY1	Angelova_2015
862	Mast	KRT1	Angelova_2015
863	Mast	LXN	Angelova_2015
864	Mast	MEIS2	Angelova_2015
865	Mast	MS4A2	Angelova_2015
866	Mast	MS4A3	Angelova_2015
867	Mast	NLRP3	Angelova_2015
868	Mast	NTRK1	Angelova_2015
869	Mast	PLAT	Angelova_2015
870	Mast	PTGS1	Angelova_2015
871	Mast	PTGS2	Angelova_2015
872	Mast	RGS16	Angelova_2015
873	Mast	SCG2	Angelova_2015
874	Mast	SDPR	Angelova_2015
875	Mast	SERPINB2	Angelova_2015
876	Mast	SIGLEC14	Angelova_2015
877	Mast	SIGLEC6	Angelova_2015
878	Mast	SLC18A2	Angelova_2015
879	Mast	SLC24A3	Angelova_2015
880	Mast	TAL1	Angelova_2015
881	Mast	TARP	Angelova_2015
882	Mast	TIE1	Angelova_2015
883	Mast	TIMP1	Angelova_2015
884	Mast	TNFAIP6	Angelova_2015
885	Mast	TSPAN4	Angelova_2015
886	Mast	VAT1	Angelova_2015
2068	Mast_activated	ATP8B4	Newman_2015
2069	Mast_activated	BPI	Newman_2015
2070	Mast_activated	CCL1	Newman_2015
2071	Mast_activated	CCL20	Newman_2015
2072	Mast_activated	CCL4	Newman_2015
2073	Mast_activated	CD33	Newman_2015
2074	Mast_activated	CLC	Newman_2015
2075	Mast_activated	CMA1	Newman_2015
2076	Mast_activated	CPA3	Newman_2015
2077	Mast_activated	CSF2	Newman_2015
2078	Mast_activated	CTSG	Newman_2015
2079	Mast_activated	CXCL3	Newman_2015
2080	Mast_activated	FCER1A	Newman_2015
2081	Mast_activated	GZMB	Newman_2015
2082	Mast_activated	HDC	Newman_2015
2083	Mast_activated	HOXA1	Newman_2015
2084	Mast_activated	HPGDS	Newman_2015
2085	Mast_activated	IL18R1	Newman_2015
2086	Mast_activated	IL1A	Newman_2015
2087	Mast_activated	IL1B	Newman_2015
2088	Mast_activated	IL1RL1	Newman_2015
2089	Mast_activated	IL3	Newman_2015
2090	Mast_activated	IL5	Newman_2015
2091	Mast_activated	LINC00597	Newman_2015
2092	Mast_activated	MARCH3	Newman_2015
2093	Mast_activated	MS4A2	Newman_2015
2094	Mast_activated	MS4A3	Newman_2015
2095	Mast_activated	MYB	Newman_2015
2096	Mast_activated	NOX3	Newman_2015
2097	Mast_activated	NTRK1	Newman_2015
2098	Mast_activated	P2RX1	Newman_2015
2099	Mast_activated	PRG2	Newman_2015
2100	Mast_activated	RAB27B	Newman_2015
2101	Mast_activated	RGS13	Newman_2015
2102	Mast_activated	SLC12A8	Newman_2015
2103	Mast_activated	STXBP6	Newman_2015
2104	Mast_activated	TEC	Newman_2015
2105	Mast_activated	TPSAB1	Newman_2015
2106	Mast_activated	ADAMTS3	Newman_2015
2107	Mast_resting	ADRB2	Newman_2015
2108	Mast_resting	ATP8B4	Newman_2015
2109	Mast_resting	BMP2K	Newman_2015
2110	Mast_resting	BPI	Newman_2015
2111	Mast_resting	C3AR1	Newman_2015
2112	Mast_resting	CD33	Newman_2015
2113	Mast_resting	CEACAM8	Newman_2015
2114	Mast_resting	CLC	Newman_2015
2115	Mast_resting	CMA1	Newman_2015
2116	Mast_resting	CPA3	Newman_2015
2117	Mast_resting	CRISP3	Newman_2015
2118	Mast_resting	CTSG	Newman_2015
2119	Mast_resting	FAM124B	Newman_2015
2120	Mast_resting	FAM174B	Newman_2015
2121	Mast_resting	FCER1A	Newman_2015
2122	Mast_resting	GFI1	Newman_2015
2123	Mast_resting	HDC	Newman_2015
2124	Mast_resting	HPGDS	Newman_2015
2125	Mast_resting	IL18R1	Newman_2015
2126	Mast_resting	LTC4S	Newman_2015
2127	Mast_resting	MS4A2	Newman_2015
2128	Mast_resting	MS4A3	Newman_2015
2129	Mast_resting	MYB	Newman_2015
2130	Mast_resting	NOX3	Newman_2015
2131	Mast_resting	NTRK1	Newman_2015
2132	Mast_resting	P2RX1	Newman_2015
2133	Mast_resting	P2RY14	Newman_2015
2134	Mast_resting	PAQR5	Newman_2015
2135	Mast_resting	PRG2	Newman_2015
2136	Mast_resting	RAB27B	Newman_2015
2137	Mast_resting	RGS13	Newman_2015
2138	Mast_resting	Sep 08	Newman_2015
2139	Mast_resting	SLC12A8	Newman_2015
2140	Mast_resting	ST8SIA1	Newman_2015
2141	Mast_resting	STAP1	Newman_2015
2142	Mast_resting	STXBP6	Newman_2015
2143	Mast_resting	TPSAB1	Newman_2015
1270	DC_mDC	ATP5O	Angelova_2015
1271	DC_mDC	CBX1	Angelova_2015
1272	DC_mDC	DNAJC15	Angelova_2015
1273	DC_mDC	ENSA	Angelova_2015
1274	DC_mDC	FOXN3	Angelova_2015
1275	DC_mDC	PRCP	Angelova_2015
1276	DC_mDC	SSB	Angelova_2015
